date,symbol,close,volume,market,currency
2024-01-02,CN-SAMPLE-01,29.6893,91377,CN,CNY
2024-01-03,CN-SAMPLE-01,29.4161,78218,CN,CNY
2024-01-04,CN-SAMPLE-01,29.3852,107779,CN,CNY
2024-01-05,CN-SAMPLE-01,29.3747,154327,CN,CNY
2024-01-08,CN-SAMPLE-01,29.1258,146362,CN,CNY
2024-01-09,CN-SAMPLE-01,29.6004,64745,CN,CNY
2024-01-10,CN-SAMPLE-01,29.3274,136118,CN,CNY
2024-01-11,CN-SAMPLE-01,28.9562,184878,CN,CNY
2024-01-12,CN-SAMPLE-01,29.0015,199582,CN,CNY
2024-01-15,CN-SAMPLE-01,28.9785,20983,CN,CNY
2024-01-16,CN-SAMPLE-01,29.2065,42351,CN,CNY
2024-01-17,CN-SAMPLE-01,29.5182,86316,CN,CNY
2024-01-18,CN-SAMPLE-01,29.6987,139960,CN,CNY
2024-01-19,CN-SAMPLE-01,29.2155,10331,CN,CNY
2024-01-22,CN-SAMPLE-01,28.5661,148278,CN,CNY
2024-01-23,CN-SAMPLE-01,28.6287,52573,CN,CNY
2024-01-24,CN-SAMPLE-01,28.7802,100152,CN,CNY
2024-01-25,CN-SAMPLE-01,28.3954,76641,CN,CNY
2024-01-26,CN-SAMPLE-01,28.4848,62508,CN,CNY
2024-01-29,CN-SAMPLE-01,28.7847,21015,CN,CNY
2024-01-30,CN-SAMPLE-01,28.6803,92460,CN,CNY
2024-01-31,CN-SAMPLE-01,28.8461,149432,CN,CNY
2024-02-01,CN-SAMPLE-01,28.8381,139211,CN,CNY
2024-02-02,CN-SAMPLE-01,28.9874,20029,CN,CNY
2024-02-05,CN-SAMPLE-01,29.5462,17914,CN,CNY
2024-02-06,CN-SAMPLE-01,29.9779,154072,CN,CNY
2024-02-07,CN-SAMPLE-01,29.9540,125705,CN,CNY
2024-02-08,CN-SAMPLE-01,30.3156,133684,CN,CNY
2024-02-09,CN-SAMPLE-01,30.7484,83208,CN,CNY
2024-02-12,CN-SAMPLE-01,30.7492,11404,CN,CNY
2024-02-13,CN-SAMPLE-01,30.7133,30782,CN,CNY
2024-02-14,CN-SAMPLE-01,30.8409,51789,CN,CNY
2024-02-15,CN-SAMPLE-01,30.4232,21817,CN,CNY
2024-02-16,CN-SAMPLE-01,30.7899,42689,CN,CNY
2024-02-19,CN-SAMPLE-01,30.1641,56760,CN,CNY
2024-02-20,CN-SAMPLE-01,30.1424,66208,CN,CNY
2024-02-21,CN-SAMPLE-01,30.0470,108442,CN,CNY
2024-02-22,CN-SAMPLE-01,29.9115,154404,CN,CNY
2024-02-23,CN-SAMPLE-01,29.5398,19993,CN,CNY
2024-02-26,CN-SAMPLE-01,29.6031,155050,CN,CNY
2024-02-27,CN-SAMPLE-01,29.2723,112800,CN,CNY
2024-02-28,CN-SAMPLE-01,29.1006,126294,CN,CNY
2024-02-29,CN-SAMPLE-01,29.1798,45505,CN,CNY
2024-03-01,CN-SAMPLE-01,29.2854,132823,CN,CNY
2024-03-04,CN-SAMPLE-01,29.3090,180110,CN,CNY
2024-03-05,CN-SAMPLE-01,28.9609,110222,CN,CNY
2024-03-06,CN-SAMPLE-01,28.8119,157413,CN,CNY
2024-03-07,CN-SAMPLE-01,28.5450,104771,CN,CNY
2024-03-08,CN-SAMPLE-01,28.4544,193779,CN,CNY
2024-03-11,CN-SAMPLE-01,28.4209,160711,CN,CNY
2024-03-12,CN-SAMPLE-01,28.3509,75610,CN,CNY
2024-03-13,CN-SAMPLE-01,28.6465,90433,CN,CNY
2024-03-14,CN-SAMPLE-01,29.2365,121751,CN,CNY
2024-03-15,CN-SAMPLE-01,29.5433,24730,CN,CNY
2024-03-18,CN-SAMPLE-01,29.3369,161195,CN,CNY
2024-03-19,CN-SAMPLE-01,28.7069,142995,CN,CNY
2024-03-20,CN-SAMPLE-01,28.8600,172395,CN,CNY
2024-03-21,CN-SAMPLE-01,28.4966,56576,CN,CNY
2024-03-22,CN-SAMPLE-01,28.2758,175830,CN,CNY
2024-03-25,CN-SAMPLE-01,27.8820,92608,CN,CNY
2024-03-26,CN-SAMPLE-01,28.2772,85842,CN,CNY
2024-03-27,CN-SAMPLE-01,28.1339,47229,CN,CNY
2024-03-28,CN-SAMPLE-01,27.8600,192044,CN,CNY
2024-03-29,CN-SAMPLE-01,28.0016,162325,CN,CNY
2024-04-01,CN-SAMPLE-01,28.3490,143617,CN,CNY
2024-04-02,CN-SAMPLE-01,28.0775,188377,CN,CNY
2024-04-03,CN-SAMPLE-01,27.7400,120014,CN,CNY
2024-04-04,CN-SAMPLE-01,27.3643,119728,CN,CNY
