date,symbol,close,volume,market,currency
2024-01-02,US-SAMPLE-01,30.3796,171965,US,USD
2024-01-03,US-SAMPLE-01,29.9915,23224,US,USD
2024-01-04,US-SAMPLE-01,30.5847,102295,US,USD
2024-01-05,US-SAMPLE-01,30.5756,174719,US,USD
2024-01-08,US-SAMPLE-01,30.5057,38721,US,USD
2024-01-09,US-SAMPLE-01,30.6569,153873,US,USD
2024-01-10,US-SAMPLE-01,30.5500,67068,US,USD
2024-01-11,US-SAMPLE-01,30.4920,59895,US,USD
2024-01-12,US-SAMPLE-01,30.6734,57767,US,USD
2024-01-15,US-SAMPLE-01,30.5078,184789,US,USD
2024-01-16,US-SAMPLE-01,30.6756,71687,US,USD
2024-01-17,US-SAMPLE-01,30.5275,168880,US,USD
2024-01-18,US-SAMPLE-01,30.3399,82945,US,USD
2024-01-19,US-SAMPLE-01,30.1470,155760,US,USD
2024-01-22,US-SAMPLE-01,30.2412,142746,US,USD
2024-01-23,US-SAMPLE-01,30.6200,26998,US,USD
2024-01-24,US-SAMPLE-01,30.4890,74160,US,USD
2024-01-25,US-SAMPLE-01,30.4686,179325,US,USD
2024-01-26,US-SAMPLE-01,30.4004,78697,US,USD
2024-01-29,US-SAMPLE-01,30.3643,119823,US,USD
2024-01-30,US-SAMPLE-01,30.3615,144112,US,USD
2024-01-31,US-SAMPLE-01,31.0017,153433,US,USD
2024-02-01,US-SAMPLE-01,31.0508,156376,US,USD
2024-02-02,US-SAMPLE-01,31.3033,173654,US,USD
2024-02-05,US-SAMPLE-01,30.8760,46000,US,USD
2024-02-06,US-SAMPLE-01,30.7951,25375,US,USD
2024-02-07,US-SAMPLE-01,30.9837,142704,US,USD
2024-02-08,US-SAMPLE-01,31.0333,198428,US,USD
2024-02-09,US-SAMPLE-01,31.3201,172710,US,USD
2024-02-12,US-SAMPLE-01,31.4359,93776,US,USD
2024-02-13,US-SAMPLE-01,31.0100,74333,US,USD
2024-02-14,US-SAMPLE-01,30.5833,41300,US,USD
2024-02-15,US-SAMPLE-01,30.4449,196240,US,USD
2024-02-16,US-SAMPLE-01,29.9621,127760,US,USD
2024-02-19,US-SAMPLE-01,30.2260,128997,US,USD
2024-02-20,US-SAMPLE-01,30.2768,116009,US,USD
2024-02-21,US-SAMPLE-01,30.2656,105288,US,USD
2024-02-22,US-SAMPLE-01,30.1593,64931,US,USD
2024-02-23,US-SAMPLE-01,30.3583,199798,US,USD
2024-02-26,US-SAMPLE-01,30.1568,174766,US,USD
2024-02-27,US-SAMPLE-01,30.0268,141574,US,USD
2024-02-28,US-SAMPLE-01,29.7310,172861,US,USD
2024-02-29,US-SAMPLE-01,29.6076,12209,US,USD
2024-03-01,US-SAMPLE-01,29.4486,107544,US,USD
2024-03-04,US-SAMPLE-01,29.1042,95312,US,USD
2024-03-05,US-SAMPLE-01,29.1012,61280,US,USD
2024-03-06,US-SAMPLE-01,28.8707,108557,US,USD
2024-03-07,US-SAMPLE-01,28.8459,158714,US,USD
